brand,model_name,image_sensor,processor,memory,imu,gps,wifi_module,power,rtc
Inavi,QXD8000,IMX678-AAQR_AAQR1,CV5,K4B2G1646F,ASM330LHH,MAX-M10S,QCA9377,TPS5430,DS3231
Inavi,QXD1,IMX662-AAQR_AAQR1,CV25S,KLM8G1GETF-B041,LSM6DS3,NEO-M9V,ESP32,MP2307,PCF8563
Inavi,QXD7000,IMX415-AAQR_AAMR,H22A,H5TQ2G83DFR,BMI270,NEO-M8N,RTL8723DS,LM2596,DS3231
Inavi,Z9000,IMX335LQN,H32,MT41K256M16,BMI160,L76-L,ESP32,MP1584,PCF8563
Inavi,Z8000,IMX335LQN,H32,THGBMNG5D1LBAIL,BMA400,L89,QCA9377,XL4015,DS3231
Inavi,FXD8000,OV4689,CV25S,K4B2G1646F,BMA253,NEO-M8N,RTL8723DS,TPS5430,PCF8563
Inavi,V1000,OV2710,H32,H5TQ2G83DFR,LIS3DH,L76-L,ESP32,LM2596,DS3231
Inavi,A1000_Alpha,OV4689,H22A,MT41K256M16,MMA8452Q,MAX-M10S,RTL8723DS,MP1584,PCF8563
Inavi,Quantum_3,IMX678-AAQR_AAQR1,CV5,KLM8G1GETF-B041,ASM330LHH,NEO-M9V,QCA9377,TPS5430,DS3231
Inavi,QXD_Mega_4CH,IMX662-AAQR_AAQR1,CV5,THGBMNG5D1LBAIL,LSM6DS3,NEO-M8N,ESP32,MP2307,PCF8563
FineVu,X3000,IMX415-AAQR_AAMR,H22A,K4B2G1646F,BMI270,NEO-M8N,QCA9377,TPS5430,DS3231
FineVu,X7000_power,IMX662-AAQR_AAQR1,CV25S,H5TQ2G83DFR,BMI160,MAX-M10S,RTL8723DS,MP2307,PCF8563
FineVu,LX7000_power,IMX335LQN,H32,KLM8G1GETF-B041,BMA400,L89,ESP32,LM2596,DS3231
FineVu,LXQ3000,IMX678-AAQR_AAQR1,CV5,MT41K256M16,ASM330LHH,NEO-M9V,QCA9377,TPS5430,PCF8563
FineVu,LX5000,OV4689,H22A,THGBMNG5D1LBAIL,BMA253,L76-L,RTL8723DS,MP1584,DS3231
FineVu,GX5,OV2710,H32,K4B2G1646F,LIS3DH,NEO-M8N,ESP32,XL4015,PCF8563
FineVu,GX3000,IMX335LQN,CV25S,H5TQ2G83DFR,MPU-6000,L89,QCA9377,LM2596,DS3231
FineVu,SQ100,OV2710,H32,MT41K256M16,MMA8452Q,L76-L,ESP32,MP1584,PCF8563
FineVu,X900,IMX415-AAQR_AAMR,H22A,KLM8G1GETF-B041,BMI270,MAX-M10S,RTL8723DS,TPS5430,DS3231
FineVu,CR-2000R,OV4689,H32,K4B2G1646F,BMA253,NEO-M8N,ESP32,XL4015,PCF8563
Mando,Z7,IMX335LQN,H22A,K4B2G1646F,BMI160,NEO-M8N,ESP32,TPS5430,PCF8563
Mando,ZX2000,IMX662-AAQR_AAQR1,CV25S,KLM8G1GETF-B041,LSM6DS3,MAX-M10S,QCA9377,MP2307,DS3231
Mando,F7,OV4689,H32,H5TQ2G83DFR,BMA400,L76-L,RTL8723DS,LM2596,PCF8563
Mando,H700,IMX415-AAQR_AAMR,H22A,MT41K256M16,BMI270,L89,ESP32,MP1584,DS3231
Mando,Autovi_SP300,OV2710,H32,THGBMNG5D1LBAIL,LIS3DH,NEO-M8N,RTL8723DS,XL4015,PCF8563
Mando,KP100,IMX335LQN,CV25S,K4B2G1646F,MPU-6000,NEO-M9V,QCA9377,TPS5430,DS3231
Mando,G700,OV4689,H32,H5TQ2G83DFR,MMA8452Q,L76-L,ESP32,LM2596,PCF8563
Mando,Z10,IMX678-AAQR_AAQR1,CV5,KLM8G1GETF-B041,ASM330LHH,MAX-M10S,QCA9377,MP2307,DS3231
Mando,P2000,IMX415-AAQR_AAMR,H22A,MT41K256M16,BMI270,NEO-M8N,RTL8723DS,TPS5430,PCF8563
Mando,S20,OV2710,H32,K4B2G1646F,BMA253,L89,ESP32,MP1584,DS3231
