component_name,category,tier,estimated_price_usd
L76-L,gps,Low,3.5
L89,gps,Mid,5.0
MAX-M10S,gps,High,9.0
NEO-M8N,gps,Mid,6.5
NEO-M9V,gps,High,12.0
ASM330LHH,imu,High,4.5
BMA253,imu,Low,0.8
BMA400,imu,Mid,1.8
BMI160,imu,Low,1.5
BMI270,imu,Mid,2.0
LIS3DH,imu,Low,0.7
LSM6DS3,imu,Mid,2.5
MMA8452Q,imu,Low,0.9
MPU-6000,imu,Mid,3.0
H5TQ2G83DFR,memory,Low,2.5
K4B2G1646F,memory,Mid,3.0
KLM8G1GETF-B041,memory,Mid,4.5
MT41K256M16,memory,Mid,2.8
THGBMNG5D1LBAIL,memory,High,6.0
LM2596,power,Low,0.5
MP1584,power,Low,0.4
MP2307,power,Mid,0.8
TPS5430,power,High,1.5
XL4015,power,Low,0.3
CV5,processor,High,25.0
CV25S,processor,Mid,15.0
H22A,processor,Mid,12.0
H32,processor,Low,6.0
DS3231,rtc,High,2.0
PCF8563,rtc,Low,0.5
IMX335LQN,sensor,Mid,6.0
IMX415-AAQR_AAMR,sensor,Mid,10.0
IMX662-AAQR_AAQR1,sensor,High,14.0
IMX678-AAQR_AAQR1,sensor,High,18.0
OV2710,sensor,Low,2.0
OV4689,sensor,Low,3.5
ESP32,wifi,Mid,2.0
QCA9377,wifi,High,4.5
RTL8723DS,wifi,Low,1.5
